id,mjd,ra,dec,f0,f1,f2,f3,f4,f5,f6,f7,reconstruction,energy,drlogl
102,57879.52564585,3.8671365,-0.4507913,2.0215876120659715,-2.4160488494217853,-2.3598134369000876,53856.44898685371,13295.602374532953,1.0,0.0,0.0,Track,43242.33,-9.00171
103,57884.21329329,3.6653278,-1.4020405,0.7450938162214882,-2.6695647383533156,-0.0012132222899249364,362.4056672298258,286.6230222809201,-0.5938405237852803,3.0984984380234692,0.15644300851671022,Shower,138466.7,0.09398189
104,57888.69614173,2.1027765,-1.124255,0.7705361072259287,2.1448033085199913,2.311580639176481,58.83615897114747,59.07983670971774,-1.0,2.636353325223955,-2.330925163611473,Shower,46260.258,0.0587323
105,57896.8594087,6.15843,0.02525799,3.1250407702867706,1.8651062655525177,-0.914336368432266,21.959346109199398,78.26985456934648,-0.47983035364361876,1.8096266985076375,-1.2998919471744586,Shower,34814.184,-0.0076199956
106,57930.7237871,4.0385475,0.40323097,1.1675653756087148,-2.244637782676575,1.3004648319809615,930.6229098061037,206.6212371456166,1.0,0.0,0.0,Shower,390925.72,-0.009879424
107,57971.62485653,4.166924,0.17485572,3.0231051840168846,-0.7811742659555336,-2.914851193906915,22.05930642097536,52.37640408931909,-0.8803308463250571,2.37772627520314,1.429641898721398,Shower,191389.53,-0.025739186
108,58007.49609814,1.0813826,1.0079285,3.0406031468882633,1.3969323174519601,-2.150989503282471,352.20441728545603,219.7548557983968,-0.9522528830109938,3.109840557934771,-1.3229924357669953,Shower,28022.006,0.003491723
109,58036.130629,2.2103434,-0.9609025,2.2027615985968545,2.4502609976787504,-3.0237622384268574,524.6253799818603,264.3238307781473,-0.8116302845713067,0.04824757307888387,1.99208421027853,Shower,97459.13,-0.011574011
110,58041.06562576,2.847537,-0.2658,1.8365963265206906,2.847537141437497,1.5269151116027493,5621.351193704938,848.8190268951822,1.0,0.0,0.0,Track,61788.05,-2.5334458
111,58054.3529492,0.91310704,-0.7295963,2.7752450273937526,1.2908340296657757,-2.7082551958694574,34.89147353772388,19.66232273646086,-0.5260428509458299,0.044487858623016976,1.3446500783718407,Shower,38110.426,-0.14523585
112,58065.41448444,5.46531,0.3211909,1.59134940367608,-1.4607408260288426,1.7314763911905773,135.54901649513292,72.10352160488041,0.5648529788093819,0.4470893159145253,1.3792666249739869,Track,23468.701,-0.5450831
113,58071.48233234,6.2677107,1.1408125,0.4671964487648047,-0.33300338328496243,1.96866742214967,221.5910829214086,43.80037210241517,0.9998818064695022,0.08665190457963179,0.01655885553749685,Shower,108144.37,-0.012687434
114,58079.088598,5.639252,0.8209239,0.7498724008940569,-0.6439333525442458,2.5959682970600513,742.1518691967873,170.9892867360327,1.0,0.0,0.0,Shower,101925.27,-0.01504136
115,58086.4518424,4.783098,0.014136521,2.1993085233163407,2.4608820847017263,0.35226737915994155,205.3490928925392,170.68695625426332,-0.9404360899039284,3.0102486547635383,1.0446226166608295,Shower,36469.598,-0.0896144
