log10(E/GeV),Zenith[deg],direction
2.93,106.286,up-going
4.97,58.106,down-going
5.12,38.462,down-going
2.62,155.212,up-going
4.67,36.634,down-going
5.3,49.153,down-going
2.97,118.02,up-going
4.52,65.705,down-going
3.04,127.022,up-going
3.04,129.776,up-going
4.8,63.666,down-going
4.93,59.937,down-going
4.88,41.353,down-going
3.0,111.183,up-going
2.83,98.641,up-going
3.2,87.559,down-going
3.29,95.593,up-going
3.12,91.54,up-going
4.87,43.579,down-going
3.02,144.274,up-going
2.88,127.575,up-going
3.13,100.349,up-going
2.78,155.973,up-going
5.2,37.741,down-going
3.1,94.816,up-going
3.35,166.134,up-going
2.88,122.064,up-going
4.61,50.318,down-going
3.15,110.969,up-going
2.62,134.492,up-going
5.05,34.008,down-going
2.8,156.299,up-going
2.83,107.269,up-going
2.76,102.656,up-going
2.92,117.699,up-going
5.08,33.502,down-going
3.15,113.425,up-going
3.22,87.964,down-going
3.13,84.821,down-going
3.05,132.811,up-going
4.53,25.422,down-going
2.86,122.811,up-going
2.86,113.763,up-going
3.41,111.51,up-going
2.87,117.051,up-going
2.72,105.662,up-going
4.43,31.548,down-going
4.07,81.534,down-going
2.73,113.087,up-going
4.68,75.147,down-going
3.27,131.343,up-going
5.38,37.482,down-going
2.84,173.306,up-going
4.58,20.408,down-going
2.92,94.42,up-going
2.81,156.805,up-going
2.93,159.047,up-going
2.91,165.254,up-going
2.96,119.353,up-going
3.61,95.649,up-going
2.7,98.507,up-going
4.62,75.05,down-going
2.82,102.894,up-going
2.99,147.867,up-going
2.89,95.293,up-going
2.85,163.545,up-going
3.22,107.752,up-going
3.26,99.11,up-going
4.55,65.11,down-going
2.98,86.983,down-going
2.74,134.002,up-going
2.91,90.9,up-going
2.86,131.64,up-going
5.04,72.142,down-going
2.76,134.254,up-going
2.94,111.018,up-going
2.9,115.896,up-going
2.87,158.067,up-going
4.8,51.936,down-going
2.76,110.525,up-going
3.09,128.685,up-going
2.73,122.107,up-going
2.9,121.982,up-going
3.05,154.438,up-going
2.98,157.454,up-going
3.16,107.094,up-going
3.03,127.332,up-going
4.27,72.685,down-going
5.38,44.339,down-going
2.83,131.923,up-going
2.89,129.635,up-going
2.84,93.764,up-going
2.83,91.592,up-going
2.85,111.026,up-going
3.08,121.787,up-going
3.05,99.668,up-going
3.31,143.847,up-going
2.82,119.073,up-going
3.97,79.153,down-going
2.9,134.107,up-going
2.93,105.051,up-going
2.76,120.208,up-going
2.79,140.853,up-going
2.82,141.195,up-going
2.87,107.322,up-going
3.08,99.645,up-going
5.01,28.118,down-going
4.74,63.758,down-going
4.89,53.467,down-going
4.72,8.351,down-going
3.17,106.045,up-going
3.01,95.253,up-going
2.89,90.163,up-going
3.27,120.002,up-going
5.84,58.11,down-going
3.03,118.154,up-going
3.2,119.355,up-going
3.02,137.89,up-going
4.44,73.267,down-going
4.19,74.281,down-going
3.0,102.513,up-going
2.88,136.924,up-going
2.89,99.237,up-going
3.12,92.552,up-going
3.03,106.184,up-going
4.85,10.441,down-going
2.8,160.713,up-going
2.78,111.829,up-going
3.2,109.456,up-going
2.74,141.469,up-going
3.06,101.222,up-going
5.2,49.839,down-going
3.1,101.665,up-going
3.0,96.108,up-going
4.29,73.802,down-going
4.55,65.905,down-going
4.97,49.202,down-going
3.02,102.225,up-going
3.37,118.202,up-going
3.44,86.11,down-going
2.86,93.443,up-going
5.0,27.993,down-going
2.98,107.613,up-going
5.01,25.374,down-going
4.65,58.991,down-going
3.5,82.396,down-going
3.28,109.406,up-going
2.88,89.507,down-going
2.95,106.087,up-going
3.15,105.181,up-going
3.31,138.09,up-going
3.04,97.57,up-going
4.23,76.777,down-going
4.84,69.548,down-going
2.84,129.48,up-going
3.11,86.096,down-going
4.51,69.899,down-going
2.67,120.155,up-going
4.77,63.723,down-going
2.99,101.66,up-going
2.78,150.79,up-going
2.87,134.185,up-going
2.63,103.863,up-going
4.03,73.014,down-going
2.8,143.652,up-going
2.81,146.056,up-going
2.87,87.846,down-going
2.78,110.489,up-going
5.39,55.848,down-going
3.07,95.085,up-going
2.85,88.303,down-going
2.96,94.907,up-going
3.01,105.692,up-going
3.39,110.091,up-going
2.54,172.324,up-going
3.04,87.634,down-going
3.1,110.358,up-going
2.96,89.29,down-going
4.96,39.518,down-going
2.83,99.732,up-going
5.55,56.281,down-going
5.12,54.218,down-going
5.47,40.125,down-going
2.99,95.093,up-going
3.11,94.315,up-going
2.95,91.425,up-going
2.73,136.976,up-going
4.39,71.925,down-going
2.85,97.522,up-going
5.01,45.371,down-going
4.95,62.97,down-going
5.5,53.474,down-going
5.39,57.613,down-going
2.91,87.013,down-going
3.01,88.164,down-going
2.91,101.778,up-going
4.81,66.471,down-going
2.94,102.444,up-going
3.51,93.637,up-going
3.27,91.608,up-going
3.49,90.267,up-going
3.7,83.314,down-going
4.83,62.066,down-going
2.98,93.912,up-going
2.87,163.255,up-going
5.42,47.013,down-going
2.99,134.953,up-going
5.22,20.716,down-going
2.96,140.651,up-going
2.71,150.755,up-going
4.79,63.739,down-going
2.98,121.563,up-going
5.54,37.534,down-going
3.04,96.022,up-going
2.73,127.729,up-going
5.02,26.727,down-going
5.71,46.34,down-going
3.42,155.749,up-going
2.3,146.072,up-going
2.75,122.089,up-going
